,Property.Name.,Property.Type.,Built.Year.,Model.,Address.,District.,Bedrooms.,Bedrooms.Additional,Area.Land,Area.Builtup,Floor.Description,Floor.,Asking.,PSF_land.,PSF.,PostalCode,Developer.,Bathrooms.,Tenure.,No..of.Units.,Facilities,Trains..MRT...LRT.,Bus.Stops,Primary.Schools,Secondary.Schools,Shopping.Malls,Furnish.,Integrated.Schools,HDB.Town.,lon,lat,is_HDB
1093,Lucky View,Semi-Detached,1998,Semi-detached,Lucky View, D16 - Bedok / Upper East Coast ,6,NA,3320,5000,NA,NA,4700000,1415,940,NA,NA,5,FREEHOLD,NA,"Renovated, Cooker Hob/hood, Air Conditioning, Bathtub, Jacuzzi, Water Heater, Intercom, Balcony, Garage, Outdoor Patio, Roof Terrace, Walk-in-wardrobe, Maidsroom, Private Garden","BAYSHORE MRT DUE 2023 7 mins  TE29 630m, BEDOK SOUTH MRT DUE 2024 14 mins  TE30 1.12 km, TANAH MERAH MRT 15 mins  EW4 1.2 km",NA,"Haig Girls' 620m, Temasek Primary 650m, Bedok Green Primary 680m","Temasek Junior College 470m, Bedok View Secondary 800m, Temasek Secondary 860m","BEDOK POINT 1.11 km, BEDOK MALL 1.38 km, EAST VILLAGE 1.67 km",NA,Temasek Junior College 470m,NA,-4.0526445,55.8243312,No
1094,Sennett Avenue,Semi-Detached,NA,Semi-detached,Sennett Avenue, D16 - Bedok / Upper East Coast ,4,NA,3420,2500,NA,NA,3970000,1160,1588,NA,NA,3,FREEHOLD,NA,"Air Conditioning, Bathtub, Cooker Hob/hood, Water Heater, Outdoor Patio, Balcony, Maidsroom, Garage, Private Garden","BAYSHORE MRT DUE 2023 9 mins  TE29 740m, TANAH MERAH MRT 13 mins  EW4 1.05 km, BEDOK SOUTH MRT DUE 2024 13 mins  TE30 1.08 km","Opp Blk 40 1 min  229123847 110m, Blk 40 1 min  384712229 140m","Haig Girls' 490m, Bedok Green Primary 590m, Temasek Primary 610m","Temasek Junior College 550m, Bedok View Secondary 640m, Temasek Secondary 850m","BEDOK POINT 1.08 km, BEDOK MALL 1.38 km, EAST VILLAGE 1.52 km",Partially Furnished,Temasek Junior College 550m,NA,103.9386538,1.3188487,No
1095,Bishan Street 13,HDB Executive,1987,Executive Apartment,187 Bishan Street 13 (570187),NA,3,1,NA,1571.5294,NA,NA,990000,NA,630,570187,NA,NA,LEASEHOLD/99 years,NA,"Corner Unit, Park/greenery View, Renovated, Air Conditioning, Cooker Hob/hood, Water Heater","BISHAN MRT 5 mins  CC15NS17 430m, BRADDELL MRT 14 mins  NS18 1.13 km, MARYMOUNT MRT 16 mins  CC16 1.35 km",Bishan Int 2 mins  525354555657585950410G410W 210m,"Kuo Chuan Presbyterian Primary 330m, Guangyang Primary 490m, Catholic High 940m","St. Joseph's Institution 320m, Kuo Chuan Presbyterian Secondary 380m, Guangyang Secondary 550m","JUNCTION 8 SHOPPING CENTRE 320m, Junction 8 330m, BISHAN NORTH SHOPPING MALL 1.22 km",NA,"St. Joseph's Institution 320m, Raffles Institution 750m, Catholic High School 940m", Bishan ,103.851562,1.3495227,Yes
1096,H Residences,Apartment,2014,Apartment,50A Lorong H Telok Kurau (426049), D15 - East Coast / Marine Parade ,1,NA,NA,474,NA,NA,7.00E+05,NA,1477,426049,South Island Tk Pte Ltd,NA,FREEHOLD,17,"Renovated, Air Conditioning, Water Heater, Bombshelter","KEMBANGAN MRT 9 mins  EW6 750m, EUNOS MRT 10 mins  EW7 830m, MARINE TERRACE MRT DUE 2023 15 mins  TE27 1.25 km","Aft Lor H Telok Kurau 1 min  33155 70m, Parkway East Hosp 1 min  3315150155155A 100m, Opp Parkway East Hosp 1 min  150153333B 120m","St. Stephen's 1.0 km, Chij (katong) Primary 1.05 km, Eunos Primary 1.09 km","St. Patrick's 1.31 km, Tanjong Katong Secondary 1.51 km, Manjusri Secondary 1.53 km","JOO CHIAT COMPLEX 1.16 km, 112 KATONG 1.24 km, KATONG V 1.48 km",NA,NA,NA,103.9088356,1.3158028,No
1097,Kismis Residences,Terrace,NA,Inter Terrace,Upper Toh Tuck Terrace, D21 - Clementi Park / Upper Bukit Timah ,4,1,1657,5231,NA,NA,4155240,2507,794,NA,Newfort Alliance (Kismis) Pte. Ltd.,4,FREEHOLD,31,"Renovated, Park/greenery View, Air Conditioning, Bathtub, Cooker Hob/hood, Private Lift, Walk-in-wardrobe, Bombshelter, Balcony, Maidsroom, Roof Terrace, Outdoor Patio","BEAUTY WORLD MRT DUE 2016 11 mins  DT5 950m, KING ALBERT PARK MRT DUE 2016 21 mins  DT6 1.7 km","Hse No. 45 1 min  173 140m, Aft Eng Kong Pl 2 mins  173 180m, Bef Eng Kong Pl 2 mins  173 190m","Bukit Timah Primary 180m, Pei Hwa Presbyterian Primary 840m, Methodist Girls' School (primary) 1.65 km","Yusof Ishak Secondary 1.14 km, Methodist Girls' School (secondary) 1.65 km","BEAUTY WORLD PLAZA 1.01 km, BUKIT TIMAH SHOPPING CENTRE 1.07 km, BUKIT TIMAH PLAZA 1.12 km",NA,"Methodist Girls' School (secondary) 1.65 km, Methodist Girls' School (primary) 1.65 km",NA,103.7690193,1.336557,No
1098,Lloyd Sixtyfive,Apartment,2016,Apartment,65 Lloyd Road (239114), D9 - Orchard / River Valley ,1,1,NA,710,LOW,NA,2184000,NA,3076,239114,Tg (2010) Pte Ltd,1,FREEHOLD,76,"Renovated, Water Heater, Air Conditioning, Cooker Hob/hood, Balcony, Bombshelter","SOMERSET MRT 4 mins  NS23 380m, DHOBY GHAUT MRT 9 mins  CC1NS24NE6 720m, FORT CANNING MRT 9 mins  DT20 780m","Aft AA Ctr 1 min  1951395432 150m, Bef AA Ctr 2 mins  1393254195NR1NR2NR5NR6NR7NR8 170m","River Valley Primary 470m, St. Margaret's Primary 1.09 km, Anglo-chinese School (junior) 1.36 km","School Of The Arts, Singapore 1.11 km, Outram Secondary 1.22 km","ORCHARD GATEWAY 370m, Orchard Central 430m, West Coast Plaza 430m",Fully Furnished,"School Of The Arts, Singapore 1.11 km",NA,103.8391715,1.2974999,No
1099,Lloyd Sixtyfive,Apartment,2016,Apartment,65 Lloyd Road (239114), D9 - Orchard / River Valley ,2,1,NA,1808,LOW,NA,5155000,NA,2851,239114,Tg (2010) Pte Ltd,2,FREEHOLD,76,"Renovated, Air Conditioning, Water Heater, Cooker Hob/hood, Balcony, Walk-in-wardrobe","SOMERSET MRT 4 mins  NS23 380m, DHOBY GHAUT MRT 9 mins  CC1NS24NE6 720m, FORT CANNING MRT 9 mins  DT20 780m","Aft AA Ctr 1 min  1951395432 150m, Bef AA Ctr 2 mins  1393254195NR1NR2NR5NR6NR7NR8 170m","River Valley Primary 470m, St. Margaret's Primary 1.09 km, Anglo-chinese School (junior) 1.36 km","School Of The Arts, Singapore 1.11 km, Outram Secondary 1.22 km","ORCHARD GATEWAY 370m, Orchard Central 430m, West Coast Plaza 430m",Fully Furnished,"School Of The Arts, Singapore 1.11 km",NA,103.8391715,1.2974999,No
1100,Lloyd Sixtyfive,Apartment,2016,Apartment,65 Lloyd Road (239114), D9 - Orchard / River Valley ,3,NA,NA,2422,LOW,NA,6655000,NA,2748,239114,Tg (2010) Pte Ltd,3,FREEHOLD,76,"Renovated, Air Conditioning, Water Heater, Cooker Hob/hood, Private Lift, Outdoor Patio, Bombshelter","SOMERSET MRT 4 mins  NS23 380m, DHOBY GHAUT MRT 9 mins  CC1NS24NE6 720m, FORT CANNING MRT 9 mins  DT20 780m","Aft AA Ctr 1 min  1951395432 150m, Bef AA Ctr 2 mins  1393254195NR1NR2NR5NR6NR7NR8 170m","River Valley Primary 470m, St. Margaret's Primary 1.09 km, Anglo-chinese School (junior) 1.36 km","School Of The Arts, Singapore 1.11 km, Outram Secondary 1.22 km","ORCHARD GATEWAY 370m, Orchard Central 430m, West Coast Plaza 430m",Fully Furnished,"School Of The Arts, Singapore 1.11 km",NA,103.8391715,1.2974999,No
1101,Watertown,Apartment,NA,Apartment,79 Punggol Central  828759 (828759), D19 - Hougang / Punggol / Sengkang ,1,NA,NA,603,MID,NA,868000,NA,1439,828759,Emerald Star Pte Ltd / Fc Retail Trustee Pte Ltd,2,LEASEHOLD/99 years,992,"Swimming Pool, 24 Hours Security, Gymnasium Room, Tennis Courts, Playground, Lap Pool, Pool Deck, Fun Pool, Multi-purpose Hall, Fitness Corner, Bbq Pits, Clubhouse, Basement Car Park, Function Room, Pavillion, Cooker Hob/hood, Water Heater, Air Conditioning, Jacuzzi, Intercom, Water Heater, Air Conditioning, Cooker Hob/hood, Intercom","PUNGGOL MRT 2 mins  NE17PTC 160m,  2 mins   190m,  5 mins   410m",NA,"Punggol View Primary 420m, Punggol Cove Primary 630m, Punggol Green Primary 660m","Edgefield Secondary 740m, Punggol Secondary 960m, Compassvale Secondary 1.21 km","WATERWAY POINT 60m, Rivervale Mall 1.65 km, COMPASS ONE 1.81 km",Partially Furnished,NA,NA,103.901754,1.4067627,No
1102,Whitehaven,Apartment,2016,Apartment,334 Pasir Panjang Road (118659), D5 - Buona Vista / West Coast / Clementi New Town ,3,NA,NA,1550,PENTHOUSE,NA,2150000,NA,1387,118659,Rl West Pte Ltd,2,FREEHOLD,120,"Side Gate, Lounge Oasis, 50M Lap Pool, Garden Nest, Aqua Lounge, Jacuzzi, Gymnasium / Toilet, Fitness Court, Children's Pool, Entrance Pavilion, Guard House, Aqua Pool, Club House, Renovated, Park/greenery View, Swimming Pool View, Corner Unit, Jacuzzi, Water Heater, Intercom, Cooker Hob/hood, Air Conditioning, Balcony, Walk-in-wardrobe, Roof Terrace","HAW PAR VILLA MRT 11 mins  CC25 890m, KENT RIDGE MRT 11 mins  CC24 910m, ONE NORTH MRT 20 mins  CC23 1.6 km","Westvale 1 min  511030188200143183 30m, Opp The Longhouse 1 min  183143305110200188 70m, Opp S'pore Science Pk II 2 mins  51103030e200188143 190m",Fairfield Methodist School (primary) 1.52 km,"Fairfield Methodist School (secondary) 1.58 km, Anglo-chinese School (independent) 1.63 km",NA,Fully Furnished,Anglo-chinese School (independent) 1.63 km,NA,103.7775638,1.2894759,No
1103,Spring Park Estate,Semi-Detached,NA,Semi-detached,Upper East Coast Road, D16 - Bedok / Upper East Coast ,4,NA,6845,3400,NA,NA,6300000,920,1853,NA,NA,NA,FREEHOLD,NA,"Renovated, Air Conditioning, Cooker Hob/hood, Bathtub, Water Heater, Private Garden","BAYSHORE MRT DUE 2023 8 mins  TE29 680m, SIGLAP MRT DUE 2023 10 mins  TE28 850m, BEDOK MRT 15 mins  EW5 1.21 km","Opp Evergreen Ave 1 min  1010e131414e4348853C 50m, Evergreen Gdn 1 min  853C43481010e131414e 90m, East Coast Ville 2 mins  43481010e131414e853C 180m","Bedok Green Primary 1.05 km, Haig Girls' 1.06 km, Temasek Primary 1.13 km","Temasek Junior College 420m, Victoria 1.16 km, Temasek Secondary 1.26 km","BEDOK POINT 1.19 km, SIGLAP SHOPPING CENTRE 1.32 km, BEDOK MALL 1.34 km",NA,Temasek Junior College 420m,NA,103.9402579,1.3148748,No
1104,Ivory,Apartment,2009,Apartment,15 Ceylon Lane (423468), D15 - East Coast / Marine Parade ,3,NA,NA,1981,NA,NA,2018888,NA,1019,423468,Hume Developments Pte Ltd,NA,FREEHOLD,20,"City View, Corner Unit, Renovated, Intercom, Cooker Hob/hood, Air Conditioning, Water Heater, Balcony, Walk-in-wardrobe, Roof Terrace","EUNOS MRT 12 mins  EW7 980m, MARINE PARADE MRT DUE 2023 14 mins  TE26 1.12 km, PAYA LEBAR MRT 14 mins  CC9EW8 1.13 km","Bef Koon Seng Rd 1 min  33 120m, Bef Joo Chiat Pl 2 mins  33 200m, Opp Maranatha Hall 2 mins  1633 210m","Tanjong Katong Primary 680m, Chij (katong) Primary 1.29 km, Kong Hwa 1.36 km","Tanjong Katong Secondary 470m, Tanjong Katong Girls' 640m, Chung Cheng High School (main) 1.27 km","JOO CHIAT COMPLEX 550m, ONE KM 730m, CITY PLAZA 850m",NA,NA,NA,103.9004785,1.3112872,No
1105,Centrale 8 At Tampines,HDB 5 Rooms,2014,NA,519B Tampines Central 8 (522519),NA,3,NA,NA,1173.2651,LOW,NA,711000,NA,606,522519,NA,2,LEASEHOLD/99 years,NA,"Corner Unit, Park/greenery View, Air Conditioning, Cooker Hob/hood","TAMPINES MRT 8 mins  DT32EW2 690m, TAMPINES WEST MRT 16 mins  DT31 1.31 km, TAMPINES EAST MRT 20 mins  DT33 1.6 km","BLK 519A 1 min  127127A969969A 60m, OPP BLK 519A 1 min  969127 80m, Tampines Concourse Int 1 min  1293918 110m","Poi Ching 540m, Tampines Primary 860m, St. Hilda's Primary 950m","Junyuan Secondary 850m, St. Hilda's Secondary 860m, Pasir Ris Secondary 1.0 km","Tampines 1 650m, TAMPINES CENTRAL COMMUNITY COMPLEX 660m, TAMPINES 1 670m",Partially Furnished,NA, Tampines ,103.9402308,1.3568025,Yes
1106,Grandeur Park Residences,Condominium,NA,Condominium,9 Bedok South Avenue 3 (465465), D16 - Bedok / Upper East Coast ,5,NA,NA,1453,NA,NA,2045112,NA,1408,465465,Cel-Changi Pte Ltd,NA,LEASEHOLD/99 years,720,"Air Conditioning, Cooker Hob/hood, Intercom, Balcony","TANAH MERAH MRT 2 mins  EW4 210m, BEDOK SOUTH MRT DUE 2024 13 mins  TE30 1.04 km, EASTWOOD LODGE 17 mins  DT37TE31 1.43 km","Tanah Merah Stn 2 mins  313535M3845474814242912 220m, Blk 50 2 mins  3846474812506 230m","Haig Girls' 690m, Bedok Green Primary 840m, Temasek Primary 850m","Bedok View Secondary 200m, Bedok South Secondary 640m, Anglican High 690m","BEDOK SHOPPING COMPLEX 720m, EAST VILLAGE 730m, BEDOK POINT 1.42 km",NA,Temasek Junior College 1.31 km,NA,103.9443529,1.3245372,No
1107,Grandeur Park Residences,Condominium,NA,Condominium,3 Bedok South Avenue 3 (465462), D16 - Bedok / Upper East Coast ,3,NA,NA,883,NA,NA,1266112,NA,1434,465462,Cel-Changi Pte Ltd,NA,LEASEHOLD/99 years,720,"Air Conditioning, Cooker Hob/hood, Intercom, Balcony","TANAH MERAH MRT 1 min  EW4 130m, BEDOK SOUTH MRT DUE 2024 13 mins  TE30 1.11 km, EASTWOOD LODGE 18 mins  DT37TE31 1.46 km","Tanah Merah Stn 2 mins  313535M3845474814242912 160m, Tanah Merah Stn 2 mins  2912313535M142438454748NR7 200m","Haig Girls' 730m, Bedok Green Primary 870m, Temasek Primary 930m","Bedok View Secondary 270m, Anglican High 620m, Bedok South Secondary 640m","BEDOK SHOPPING COMPLEX 640m, EAST VILLAGE 640m, BEDOK POINT 1.44 km",NA,Temasek Junior College 1.37 km,NA,103.9443529,1.3245372,No
1108,Bukit Loyang Estate,Semi-Detached,2008,Semi-detached,Jalan Kelempong, D17 - Changi Airport / Changi Village ,5,1,3396,5700,NA,NA,4680000,1378,821,NA,NA,6,FREEHOLD,NA,"Renovated, Bathtub, Cooker Hob/hood, Air Conditioning, Intercom, Water Heater, Balcony, Maidsroom, Outdoor Patio",TAMPINES EAST MRT 19 mins  DT33 1.59 km,"Aft Jln Mariam 1 min  29 40m, Bef Jln Mariam 1 min  29 70m, Bef Loyang Ave 2 mins  5 230m","White Sands Primary 780m, Pasir Ris Primary 1.19 km, East Spring Primary 1.26 km","Greenview Secondary 900m, East Spring Secondary 1.02 km, Loyang Secondary 1.23 km",LOYANG POINT 520m,NA,NA,NA,103.9674548,1.3622742,No
1109,Jelebu Road,HDB 5 Rooms,2003,Improved,181 Jelebu Road (670181),NA,3,NA,NA,1194.7929,LOW,NA,5.00E+05,NA,418,670181,NA,2,LEASEHOLD/99 years,NA,"Corner Unit, Renovated, Air Conditioning, Cooker Hob/hood, Water Heater","BUKIT PANJANG LRT 1 min  BP6DT1 140m,  1 min   150m, TEN MILE JUNCTION LRT 3 mins  BP14 280m","Opp Bt Panjang Plaza 1 min  75960963963E963R920922970979979M983171 110m, Blk 183 1 min  960963963E963RNR3920922187190972975975A979979M983700700A75176180180A184 110m, Blk 184 1 min  970171 110m","West View Primary 570m, Zhenghua Primary 700m, Greenridge Primary 910m","Teck Whye Secondary 950m, West Spring Secondary 1.0 km, Zhenghua Secondary 1.02 km","HILLION MALL 100m, Bukit Panjang Plaza 170m, JUNCTION 10 360m",Fully Furnished,NA, Bukit Panjang ,103.7629963,1.3792736,Yes
1110,Woodlands Avenue 1,HDB 3 Rooms,2012,Model A,570B Woodlands Avenue 1 (732570),NA,2,NA,NA,721.1813,LOW,NA,318000,NA,441,732570,NA,2,LEASEHOLD/99 years,NA,"Corner Unit, Renovated, Water Heater, Cooker Hob/hood, Air Conditioning","WOODLANDS SOUTH MRT DUE 2019 6 mins  TE3 500m, WOODLANDS MRT 10 mins  NS9TE2 830m, ADMIRALTY MRT 19 mins  NS10 1.58 km","Opp Blk 507 1 min  901 50m, Blk 536A 1 min  900900A 110m, Woodgrove Pr Sch 1 min  901 110m","Innova Primary 210m, Woodgrove Primary 240m, Si Ling Primary 530m","Singapore Sports 510m, Christ Church Secondary 580m, Woodgrove Secondary 680m","VISTA POINT 370m, Causeway Point 770m, 888 PLAZA 870m",Fully Furnished,Singapore Sports School 510m, Woodlands ,103.7908663,1.4308239,Yes
1111,Guillemard Edge,Apartment,2014,Apartment,38 Lorong 30 Geylang (398371), D14 - Eunos / Geylang / Paya Lebar ,1,NA,NA,861,NA,NA,860000,NA,999,398371,Macly Equity Pte Ltd,1,FREEHOLD,275,"Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Balcony, Bombshelter","DAKOTA MRT 6 mins  CC8 490m, ALJUNIED MRT 7 mins  EW9 620m, MOUNTBATTEN MRT 10 mins  CC7 820m","Opp Kong Hwa Sch 1 min  77070M197 150m, Kong Hwa Sch 2 mins  1977070M7 200m, Aft Lor 28 Geylang 2 mins  2613214051672853C 200m","Kong Hwa 260m, Geylang Methodist School (primary) 650m, Macpherson Primary 1.46 km","Broadrick Secondary 580m, Geylang Methodist School (secondary) 730m, Chung Cheng High School (main) 920m","CITY PLAZA 880m, ONE KM 990m, PAYA LEBAR SQUARE 1.02 km",Fully Furnished,Dunman High School 1.42 km,NA,103.886275,1.3122141,No
1112,Soleil @ Sinaran,Condominium,2011,NA,2 Sinaran Drive (307467), D11 - Newton / Novena ,1,NA,NA,581,NA,NA,1280000,NA,2203,307467,Riverside Investments Pte Ltd,1,LEASEHOLD/99 years,417,"Landscaped Garden, Wadpool, Swimming Pool, Gymnasium, Tennis Court, Fitness Area, Securities, City View, Air Conditioning, Corner Unit, Water Heater, Intercom, Cooker Hob/hood, Air Conditioning, Kitchen, Air-conditioning, Flooring For Living/dining, Wardrobe, Flooring For Bedroom, Balcony, Terrace","NOVENA MRT 2 mins  NS20 230m, NEWTON MRT 14 mins  DT11NS21 1.12 km, FARRER PARK VIEW 14 mins  NE8 1.18 km","St. Michael's Sch 1 min  12421518518A 150m, Novena Stn 2 mins  131141166980851215657 180m, Revival Ctr Ch 2 mins  12421 180m","St. Joseph's Institution Junior 200m, Balestier Hill Primary 690m, Farrer Park Primary 1.01 km","Balestier Hill Secondary 570m, Anglo-chinese School (barker Road) 1.03 km, Northlight 1.19 km","VELOCITY @ NOVENA SQUARE 120m, Velocity@novena Square 130m, Square 2 170m",Fully Furnished,"Singapore Chinese Girls' School 1.91 km, Singapore Chinese Girls' Primary School 1.91 km",NA,103.8452241,1.3193784,No
1113,Yishun Avenue 7,HDB 5 Rooms,1986,Improved,170 Yishun Avenue 7 (760170),NA,3,NA,NA,1313.1958,NA,NA,450000,NA,343,760170,NA,NA,LEASEHOLD/99 years,NA,"Corner Unit, Cooker Hob/hood, Water Heater","CANBERRA U+C (NS12) 10 mins  NS12 870m, YISHUN MRT 11 mins  NS13 890m, SEMBAWANG MRT 24 mins  NS11 1.96 km","Opp Darul Makmur Mque 1 min  117169883965800811 110m, Darul Makmur Mque 1 min  965965A883169169A117 110m, Blk 174 1 min  965800811811A 140m","Yishun Primary 420m, Ahmad Ibrahim Primary 440m, Xishan Primary 690m","Ahmad Ibrahim Secondary 360m, Yishun Town Secondary 770m, Northland Secondary 830m","Northpoint 890m, NORTHPOINT SHOPPING CENTRE 890m, SEMBAWANG SHOPPING CENTRE 1.03 km",NA,NA, Yishun ,103.8325912,1.4372031,Yes
1114,City Suites,Apartment,2017,Apartment,235 Balestier Road (329699), D12 - Balestier / Toa Payoh ,1,NA,NA,452,NA,NA,8.00E+05,NA,1770,329699,Corporate Residence Pte Ltd,1,FREEHOLD,56,"Renovated, City View, Corner Unit, Air Conditioning, Water Heater, Balcony, Bombshelter","NOVENA MRT 12 mins  NS20 1.0 km, FARRER PARK VIEW 12 mins  NE8 1.02 km, BOON KENG MRT 13 mins  NE9 1.06 km","Balestier Twrs 1 min  124125130139145 80m, Opp Balestier Twrs 1 min  139145124125130 100m, Opp Balestier Pt 2 mins  12412513013113914521186 200m","Hong Wen 610m, St. Joseph's Institution Junior 830m, Farrer Park Primary 990m","Northlight 470m, Balestier Hill Secondary 1.02 km, Bendemeer Secondary 1.05 km","SHAW PLAZA - TWIN HEIGHTS 460m, Square 2 890m, ZHONGSHAN MALL 890m",NA,NA,NA,103.8522459,1.321375,No
1115,Jurong West Street 62,HDB 5 Rooms,2001,Improved,602 Jurong West Street 62 (640602),NA,3,NA,NA,1237.8485,MID,NA,470000,NA,380,640602,NA,2,LEASEHOLD/99 years,NA,"Renovated, Air Conditioning, Hairdryer, Water Heater, Cooker Hob/hood, Balcony, Bombshelter","PIONEER MRT 4 mins  EW28 360m, BOON LAY MRT 8 mins  EW27 640m","Opp Blk 622 1 min  256NR5243W 140m, Blk 608 2 mins  241192179 180m, Blk 658C 2 mins  1791925N241 200m","Jurong West Primary 180m, Frontier Primary 300m, West Grove Primary 630m","Boon Lay Secondary 420m, Jurong West Secondary 490m, Dunearn Secondary 1.1 km","PIONEER MALL 420m, Jurong Point 690m, GEK POH SHOPPING CENTRE 1.09 km",Partially Furnished,River Valley High School 1.12 km, Jurong West ,103.7003653,1.3393331,Yes
1116,Sembawang Crescent,HDB Executive,1999,Apartment,338 Sembawang Crescent (750338),NA,4,NA,NA,1463.8904,MID,NA,510000,NA,348,750338,NA,2,LEASEHOLD/99 years,NA,"Air Conditioning, Water Heater, Cooker Hob/hood, Balcony, Bombshelter","SEMBAWANG MRT 7 mins  NS11 630m, CANBERRA U+C (NS12) 19 mins  NS12 1.56 km, ADMIRALTY MRT 21 mins  NS10 1.71 km","Sembawang Sec Sch 1 min  962859859A 130m, Opp Blk 336A CP 1 min  859859B962 130m, Opp Sembawang Sec Sch 1 min  859859B962 140m","Canberra Primary 620m, Sembawang Primary 640m, Endeavour Primary 970m","Sembawang Secondary 180m, Canberra Secondary 840m, Admiralty Secondary 1.44 km","Sun Plaza 540m, SEMBAWANG SHOPPING CENTRE 1.15 km, ADMIRALTY PLACE 1.62 km",Partially Furnished,NA, Sembawang ,103.8153771,1.4456742,Yes
1117,Teck Whye Lane,HDB 5 Rooms,1979,Improved,12 Teck Whye Lane (680012),NA,3,NA,NA,1280.9041,HIGH,NA,390000,NA,304,680012,NA,2,LEASEHOLD/99 years,NA,"City View, Renovated, Corner Unit, Park/greenery View, Air Conditioning, Hairdryer, Water Heater, Cooker Hob/hood, Balcony","PHOENIX LRT 3 mins  BP5 270m,  3 mins   280m,  4 mins   380m","Blk 157 1 min  190190A975982E985 90m, Bet Blks 13/14 1 min  975975A982E985190NR3 100m, Blk 25 1 min  307 150m","Teck Whye Primary 530m, West View Primary 690m, South View Primary 1.07 km","Teck Whye Secondary 410m, Chua Chu Kang Secondary 590m, West Spring Secondary 1.05 km","TECK WHYE SHOPPING CENTRE 360m, JUNCTION 10 500m, HILLION MALL 810m",Not Furnished,NA, Choa Chu Kang ,103.7556637,1.3795367,Yes
1118,Boon Lay Drive,HDB 4 Rooms,2013,Model A,181A Boon Lay Drive (641181),NA,3,NA,NA,990.2788,MID,NA,455000,NA,460,641181,NA,2,LEASEHOLD/99 years,NA,"Corner Unit, Air Conditioning, Hairdryer, Water Heater, Cooker Hob/hood, Bombshelter","BOON LAY MRT 14 mins  EW27 1.15 km, LAKESIDE MRT 18 mins  EW26 1.51 km, PIONEER MRT 21 mins  EW28 1.69 km","St. Joseph's Home 1 min  157 130m, Opp St. Joseph's Home 1 min  157 150m","Corporation Primary 340m, Boon Lay Garden Primary 830m, Westwood Primary 860m","River Valley High 500m, Dunearn Secondary 760m, Westwood Secondary 910m","BOON LAY SHOPPING CENTRE 640m, Jurong Point 980m, GEK POH SHOPPING CENTRE 1.15 km",Not Furnished,River Valley High School 500m, Jurong West ,103.709196,1.345693,Yes
1119,Woodlands Drive 70,HDB 4 Rooms,1997,Model A,716 Woodlands Drive 70 (730716),NA,3,NA,NA,1087.1539,LOW,NA,360000,NA,331,730716,NA,2,LEASEHOLD/99 years,NA,"City View, Renovated, Original Condition, Park/greenery View, Air Conditioning, Hairdryer, Water Heater, Cooker Hob/hood","ADMIRALTY MRT 2 mins  NS10 160m, WOODLANDS NORTH MRT DUE 2019 19 mins  TE1 1.52 km, WOODLANDS MRT 19 mins  NS9TE2 1.57 km","Opp Admiralty Stn 1 min  965965A969904913964 80m, Admiralty Stn 1 min  904912913964965969 140m, Bef Admiralty Pr Sch 2 mins  964913 210m","Admiralty Primary 130m, Greenwood Primary 560m, Evergreen Primary 650m","Admiralty Secondary 570m, Woodlands Ring Secondary 610m, Evergreen Secondary 670m","ADMIRALTY PLACE 330m, WOODLANDS MART 490m, 888 PLAZA 700m",Not Furnished,NA, Woodlands ,103.7997736,1.441501,Yes
1120,My Manhattan,Condominium,2014,Condominium,33 Simei Street 3 (529903), D18 - Pasir Ris / Tampines ,4,NA,NA,1647,NA,NA,1999000,NA,1214,529903,Cel-Simei Pte Ltd,NA,LEASEHOLD/99 years,301,"Flow Of Ave, Tennis Court, Aqua Beds, Function Room, Viewing Deck, Children Splash Pool, Lustrous Archway, Drop-off, Outdoor Living Room, Vertical Gardens, Entrance Plaza, Aqua Seats, The Montare, Reflective Pool, Bbq Pavilions, Aqua Deck, Children Playground, 50M Lap Pool, Chaise Lounges, Arch Of Ave, Outdoor Function Room, Covered Walkway, Gym, Swimming Pool View, Renovated, Air Conditioning, Bathtub, Intercom, Cooker Hob/hood, Air Conditioning, Water Heater, Outdoor Patio, Maidsroom","SIMEI MRT 2 mins  EW3 160m, UPPER CHANGI MRT 10 mins  DT34 860m, EXPO MRT 14 mins  CG1DT35 1.18 km","Opp Simei Stn 1 min  203859NR7 50m, Simei Stn 1 min  4N385920 60m, Modena Condo/Opp Blk 228 2 mins  3820 200m","Changkat Primary 250m, Angsana Primary 780m, Chongzheng Primary 1.02 km","Changkat Changi Secondary 190m, Tampines Secondary 1.35 km, Ngee Ann Secondary 1.45 km","CHANGI CITY POINT 1.34 km, BEDOK SHOPPING COMPLEX 1.34 km, EAST VILLAGE 1.39 km",Fully Furnished,NA,NA,103.9537189,1.3424476,No
